txn_id,txn_date,customer_id,product_id,quantity,age,gender,gender_encoded,age_scaled,product_name,super_category,category,brand,base_price,discount_percent,monthly_sales_volume,avg_rating,return_rate_percent,profit_margin_percent,is_perishable,shelf_life_days,launch_date,category_encoded,brand_encoded,is_perishable_encoded,super_category_encoded,base_price_scaled,monthly_sales_volume_scaled,avg_rating_scaled,return_rate_percent_scaled,sentiment_score,last_updated,product_price,total_price,age_group,popularity_index
T000087,2025-12-01,CUST007,P00207,2,51,M,1,0.7441860465116278,LocalFarm Banana,Fresh,Fruits & Vegetables,LocalFarm,125,5,1211,3.3,34.45,36.72,Yes,12,2022-02-03,7,41,1,1,0.15407407407407406,0.4253703000379795,0.0588235294117645,0.8797054009819969,0.31,2026-01-18,118.75,237.5,51-65,748
T000121,2025-12-01,CUST012,P00231,4,59,O,2,0.9302325581395349,B Natural Iced Tea,Beverages,Cold Drinks & Juices,B Natural,101,0,667,3.3,36.13,39.66,No,531,2023-08-20,4,5,0,0,0.1185185185185185,0.21876186859096086,0.0588235294117645,0.9255319148936172,0.49,2026-01-18,101.0,404.0,51-65,1000
T000343,2025-12-09,CUST030,P00231,3,23,M,1,0.09302325581395343,B Natural Iced Tea,Beverages,Cold Drinks & Juices,B Natural,101,0,667,3.3,36.13,39.66,No,531,2023-08-20,4,5,0,0,0.1185185185185185,0.21876186859096086,0.0588235294117645,0.9255319148936172,0.49,2026-01-18,101.0,303.0,19-35,1000
T000174,2025-12-01,CUST019,P00269,1,45,O,2,0.6046511627906977,Country Delight Milk,Fresh,Dairy & Eggs,Country Delight,81,10,1742,4.5,12.22,36.36,Yes,10,2023-04-26,5,16,1,1,0.08888888888888888,0.6270413976452716,0.7647058823529409,0.2733224222585925,0.83,2026-01-18,72.9,72.9,36-50,826
TXN-F88F29EC,2026-01-07,CUST024,P00269,1,33,O,2,0.32558139534883723,Country Delight Milk,Fresh,Dairy & Eggs,Country Delight,81,10,1742,4.5,12.22,36.36,Yes,10,2023-04-26,5,16,1,1,0.08888888888888888,0.6270413976452716,0.7647058823529409,0.2733224222585925,0.83,2026-01-18,72.9,72.9,19-35,826
TXN-17671092,2026-01-12,CUST001,P00269,1,54,O,2,0.813953488372093,Country Delight Milk,Fresh,Dairy & Eggs,Country Delight,81,10,1742,4.5,12.22,36.36,Yes,10,2023-04-26,5,16,1,1,0.08888888888888888,0.6270413976452716,0.7647058823529409,0.2733224222585925,0.83,2026-01-18,72.9,72.9,51-65,826
TXN-08D4A723,2026-01-14,CUST015,P00269,1,22,M,1,0.06976744186046513,Country Delight Milk,Fresh,Dairy & Eggs,Country Delight,81,10,1742,4.5,12.22,36.36,Yes,10,2023-04-26,5,16,1,1,0.08888888888888888,0.6270413976452716,0.7647058823529409,0.2733224222585925,0.83,2026-01-18,72.9,72.9,19-35,826
T000175,2025-12-01,CUST019,P00437,4,45,O,2,0.6046511627906977,Nestle Soan Papdi,Snacks,Chocolates & Sweets,Nestle,419,0,781,4.3,16.92,36.46,No,624,2021-10-26,2,50,0,4,0.5896296296296296,0.26205848841625523,0.6470588235294115,0.40152755046372074,0.46,2026-01-18,419.0,1676.0,36-50,877
TXN-99754F15,2025-12-25,CUST005,P00437,1,41,M,1,0.5116279069767442,Nestle Soan Papdi,Snacks,Chocolates & Sweets,Nestle,419,0,781,4.3,16.92,36.46,No,624,2021-10-26,2,50,0,4,0.5896296296296296,0.26205848841625523,0.6470588235294115,0.40152755046372074,0.46,2026-01-18,419.0,419.0,36-50,877
TXN-5B3B8C1B,2026-01-13,CUST009,P00437,1,26,M,1,0.16279069767441856,Nestle Soan Papdi,Snacks,Chocolates & Sweets,Nestle,419,0,781,4.3,16.92,36.46,No,624,2021-10-26,2,50,0,4,0.5896296296296296,0.26205848841625523,0.6470588235294115,0.40152755046372074,0.46,2026-01-18,419.0,419.0,19-35,877
T000009,2025-12-02,CUST001,P00889,4,54,O,2,0.813953488372093,24 Mantra Urad Dal,Staples,"Atta, Rice & Dal",24 Mantra,70,10,904,3.9,24.57,26.24,No,312,2022-06-21,0,0,0,5,0.0725925925925926,0.30877326243828335,0.4117647058823526,0.610201854882706,0.19,2026-01-18,63.0,252.0,51-65,840
TXN-FBF2BEF0,2026-01-05,CUST020,P00889,1,49,M,1,0.6976744186046512,24 Mantra Urad Dal,Staples,"Atta, Rice & Dal",24 Mantra,70,10,904,3.9,24.57,26.24,No,312,2022-06-21,0,0,0,5,0.0725925925925926,0.30877326243828335,0.4117647058823526,0.610201854882706,0.19,2026-01-18,63.0,63.0,36-50,840
T000010,2025-12-02,CUST001,P00539,1,54,O,2,0.813953488372093,Aashirvaad Brown Rice,Staples,"Atta, Rice & Dal",Aashirvaad,245,15,883,4.9,2.77,27.81,No,362,2022-06-21,0,1,0,5,0.33185185185185184,0.30079756931257123,1.0000000000000002,0.01554828150572831,0.4,2026-01-18,208.25,208.25,51-65,963
T000198,2025-12-25,CUST021,P00539,4,47,F,0,0.6511627906976744,Aashirvaad Brown Rice,Staples,"Atta, Rice & Dal",Aashirvaad,245,15,883,4.9,2.77,27.81,No,362,2022-06-21,0,1,0,5,0.33185185185185184,0.30079756931257123,1.0000000000000002,0.01554828150572831,0.4,2026-01-18,208.25,833.0,36-50,963
TXN-37B9B3BC,2025-12-27,CUST006,P00539,3,52,F,0,0.7674418604651162,Aashirvaad Brown Rice,Staples,"Atta, Rice & Dal",Aashirvaad,245,15,883,4.9,2.77,27.81,No,362,2022-06-21,0,1,0,5,0.33185185185185184,0.30079756931257123,1.0000000000000002,0.01554828150572831,0.4,2026-01-18,208.25,624.75,51-65,963
